_id,systemId,name,seriesId,authorsIds,betaDocLink,betaDriveFolder,shortDescription,longDescription,mainGoal,mainSubjects,difficulty,age,tags,prerequisites,price,xp,skillsComponentsXp,createdAt,updatedAt,levelSystemId,levelTitle,levelSortDescription,levelLongDescription,stepSystemId,stepTitle,stepShortDescription,stepLongDescription,screenSystemId,screenTitle,screenType,elementType,elementSystemId,elementContent
1,17,ליווי שורשים בפסנתר,1,1,https://docs.google.com/document/d/1jhO3Tat_B9OwHv9ZUXvUoKemV78TPndcIvxiwbxtx9M/edit?usp=drive_link,https://drive.google.com/drive/folders/1H0EiAp6orh_wjfxTXPC0K3yx2hRGMdAC?usp=drive_link,ליווי הפסנתר הפשוט ביותר,"ליווי שורשים זאת טכניקת הליווי הראשונה שלומדים בפסנתר, והיא הבסיס לכמעט כל טכניקות הליווי. שליטה בטכניקה הזאת תאפשר לכם להמשיך ללמוד עוד טכניקות בצורה יעילה ונוחה",להצליח ללוות שירים בעזרת ליווי שורשים,"מה זה שורש, מבוא לאקורדים, מה זה ליווי שורשים, איך מנגנים ליווי שורשים, איך קוראים תרשים מוזיקלי ומלווים אותו בליווי שורשים",1,12,"פסנתר, ליווי, שורשים",הכרת הקלידים הלבנים בעברית ובאנגלית,100,1000,1:50 | 2:100,10/8/2025,10/8/2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,מבוא לשורשים,נכיר את מה שצריך כדי להתחיל לנגן שורשים,"נכיר את הקלידים הלבנים, את שמותיהם בעברית ובאנגלית, נלמד לקרוא אקורדים ולנגן אותם בעזרת ליווי שורשים",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,קלידים לבנים,זיהוי והכרת שמות הקלידים הלבנים,נלמד לזהות את הקלידים הלבנים בפסנתר ונכיר את שמותיהם בעברית ובאנגלית,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מהם שורשים?,info,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"מה זה שורשים? שורש, זה הצליל הראשון של כל אקורד. הצליל שממנו האקורד מתחיל."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"למשל אקורד דו מז׳ור (באנגלית נקרא C), מורכב מהצלילים דו, מי וסול. דו זה הצליל הראשון שלו, ולכן אפשר לומר שהשורש של אקורד דו מז׳ור הוא הצליל דו."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"שורשים זה משהו שמאוד קל למצוא, כי הם חלק מהשמות של האקורדים. שמות של אקורדים בנויים משם השורש, ומסוג האקורד, כמו למשל דו מז׳ור, דו מינור, דו מוגדל וכן הלאה. לכל הדוגמאות האלה יש את השורש דו."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"לפי המידע הזה, כבר עכשיו אנחנו יכולים למצוא את השורשים של כל האקורדים הקיימים. רוצים הוכחה?"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,מה השורש של אקורד מי מינור תשע במול חמש דיאז אחת עשרה (כלומר: Em9♭5♯11)?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,6,יש לכם ניחוש?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,7,"הצליל מי הוא השורש! לפני כל הפירוט של סוג האקורד עם כל התוספות, רשום שם השורש של האקורד."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,8,"כמובן שחשוב לזהות שורשים של אקורדים הרשומים בסימנים המקובלים, שאלו אותיות באנגלית."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,9,אם אתם זוכרים את הטבלה הזאת:
2,18,ליווי שורשים בפסנתר,1,1,https://docs.google.com/document/d/1jhO3Tat_B9OwHv9ZUXvUoKemV78TPndcIvxiwbxtx9M/edit?usp=drive_link,https://drive.google.com/drive/folders/1H0EiAp6orh_wjfxTXPC0K3yx2hRGMdAC?usp=drive_link,ליווי הפסנתר הפשוט ביותר,"ליווי שורשים זאת טכניקת הליווי הראשונה שלומדים בפסנתר, והיא הבסיס לכמעט כל טכניקות הליווי. שליטה בטכניקה הזאת תאפשר לכם להמשיך ללמוד עוד טכניקות בצורה יעילה ונוחה",להצליח ללוות שירים בעזרת ליווי שורשים,"מה זה שורש, מבוא לאקורדים, מה זה ליווי שורשים, איך מנגנים ליווי שורשים, איך קוראים תרשים מוזיקלי ומלווים אותו בליווי שורשים",1,12,"פסנתר, ליווי, שורשים",הכרת הקלידים הלבנים בעברית ובאנגלית,100,1000,1:50 | 2:100,10/8/2025,10/8/2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,מבוא לשורשים,נכיר את מה שצריך כדי להתחיל לנגן שורשים,"נכיר את הקלידים הלבנים, את שמותיהם בעברית ובאנגלית, נלמד לקרוא אקורדים ולנגן אותם בעזרת ליווי שורשים",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,קלידים לבנים,זיהוי והכרת שמות הקלידים הלבנים,נלמד לזהות את הקלידים הלבנים בפסנתר ונכיר את שמותיהם בעברית ובאנגלית,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מהם שורשים?,info,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"מה זה שורשים? שורש, זה הצליל הראשון של כל אקורד. הצליל שממנו האקורד מתחיל."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"למשל אקורד דו מז׳ור (באנגלית נקרא C), מורכב מהצלילים דו, מי וסול. דו זה הצליל הראשון שלו, ולכן אפשר לומר שהשורש של אקורד דו מז׳ור הוא הצליל דו."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"שורשים זה משהו שמאוד קל למצוא, כי הם חלק מהשמות של האקורדים. שמות של אקורדים בנויים משם השורש, ומסוג האקורד, כמו למשל דו מז׳ור, דו מינור, דו מוגדל וכן הלאה. לכל הדוגמאות האלה יש את השורש דו."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"לפי המידע הזה, כבר עכשיו אנחנו יכולים למצוא את השורשים של כל האקורדים הקיימים. רוצים הוכחה?"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,מה השורש של אקורד מי מינור תשע במול חמש דיאז אחת עשרה (כלומר: Em9♭5♯11)?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,6,יש לכם ניחוש?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,7,"הצליל מי הוא השורש! לפני כל הפירוט של סוג האקורד עם כל התוספות, רשום שם השורש של האקורד."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,8,"כמובן שחשוב לזהות שורשים של אקורדים הרשומים בסימנים המקובלים, שאלו אותיות באנגלית."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,9,אם אתם זוכרים את הטבלה הזאת:
,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,